timestamp,id,group,action
2016-09-24 17:42:28,804196,experiment,view
2016-09-24 19:19:04,434745,experiment,view
2016-09-24 19:36:01,507599,experiment,view
2016-09-24 19:59:03,671993,control,view
2016-09-24 20:26:14,536734,experiment,view
2016-09-24 20:32:26,681598,experiment,view
2016-09-24 20:39:03,522116,experiment,view
2016-09-24 20:57:20,349125,experiment,view
2016-09-24 20:58:02,349125,experiment,click
2016-09-24 21:00:12,560027,control,view
2016-09-24 21:00:41,265695,experiment,view
2016-09-24 21:05:15,601714,experiment,view
2016-09-24 21:06:28,601714,experiment,click
2016-09-24 21:09:09,416862,experiment,view
2016-09-24 21:29:20,487634,experiment,view
2016-09-24 21:30:03,487634,experiment,click
2016-09-24 23:01:09,468601,experiment,view
2016-09-24 23:01:12,468601,experiment,click
2016-09-24 23:08:36,293251,experiment,view
2016-09-24 23:50:32,515303,experiment,view
2016-09-25 0:00:48,555973,experiment,view
2016-09-25 0:01:48,555973,experiment,click
2016-09-25 0:06:14,756950,experiment,view
2016-09-25 0:25:14,281985,control,view
2016-09-25 1:14:49,407864,control,view
2016-09-25 2:16:11,342984,control,view
2016-09-25 2:41:59,716544,control,view
2016-09-25 2:52:44,398892,control,view
2016-09-25 2:53:25,398892,control,click
2016-09-25 3:28:48,444902,experiment,view
2016-09-25 3:29:16,444902,experiment,click
2016-09-25 3:50:40,769969,control,view
2016-09-25 3:50:49,462225,control,view
2016-09-25 3:51:41,710625,experiment,view
2016-09-25 3:53:07,667387,control,view
2016-09-25 4:14:29,588929,experiment,view
2016-09-25 5:18:59,544571,control,view
2016-09-25 5:19:16,544571,control,click
2016-09-25 5:21:27,824613,control,view
2016-09-25 5:42:35,269335,experiment,view
2016-09-25 5:44:10,269335,experiment,click
2016-09-25 5:47:10,199091,control,view
2016-09-25 6:02:34,694237,experiment,view
2016-09-25 6:36:23,685428,experiment,view
2016-09-25 6:59:24,596892,experiment,view
2016-09-25 7:00:09,596892,experiment,click
2016-09-25 7:23:22,653403,experiment,view
2016-09-25 7:24:29,653403,experiment,click
2016-09-25 7:49:39,408725,experiment,view
2016-09-25 8:07:19,731880,experiment,view
2016-09-25 8:10:41,922848,experiment,view
2016-09-25 8:11:35,922848,experiment,click
2016-09-25 8:12:51,547020,control,view
2016-09-25 8:22:32,283438,experiment,view
2016-09-25 8:23:37,283438,experiment,click
2016-09-25 8:24:31,194950,control,view
2016-09-25 8:25:33,194950,control,click
